Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,2e+08,
Record Length,3923,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.002,
Label,,
TIME,CH1,CH1 Peak Detect
-1.5714e+01,-0.00316,4e-05
-1.5707e+01,-0.00332,-0.0062
-1.5699e+01,-0.00364,0.00116
-1.5691e+01,-0.00316,-0.00772
-1.5684e+01,-0.00292,0.00268
-1.5676e+01,-0.00308,-0.00852
-1.5668e+01,-0.00268,0.00068
-1.5661e+01,-0.00276,-0.00612
-1.5653e+01,-0.00284,0.00172
-1.5645e+01,-0.00316,-0.00796
-1.5637e+01,-0.00308,0.00044
-1.5630e+01,-0.00308,-0.00628
-1.5622e+01,-0.00244,0.00244
-1.5614e+01,-0.0022,-0.00724
-1.5607e+01,-0.00236,0.00084
-1.5599e+01,-0.00236,-0.0054
-1.5591e+01,-0.00284,0.00036
-1.5584e+01,-0.00212,-0.005
-1.5576e+01,-0.00244,-0.00028
-1.5568e+01,-0.00276,-0.0046
-1.5561e+01,-0.00268,0.00164
-1.5553e+01,-0.00324,-0.00732
-1.5545e+01,-0.00268,0.00092
-1.5538e+01,-0.0026,-0.00668
-1.5530e+01,-0.00276,0.00268
-1.5522e+01,-0.00252,-0.00772
-1.5515e+01,-0.00292,0.00268
-1.5507e+01,-0.00268,-0.00828
-1.5499e+01,-0.00292,0.00228
-1.5492e+01,-0.003,-0.0086
-1.5484e+01,-0.00268,0.00164
-1.5476e+01,-0.00252,-0.00732
-1.5469e+01,-0.0026,0.00228
-1.5461e+01,-0.00284,-0.00756
-1.5453e+01,-0.00276,0.00156
-1.5445e+01,-0.003,-0.00692
-1.5438e+01,-0.00268,0.00148
-1.5430e+01,-0.00244,-0.007
-1.5422e+01,-0.0026,0.0018
-1.5415e+01,-0.00244,-0.00676
-1.5407e+01,-0.00244,-0.00132
-1.5399e+01,-0.00252,-0.0034
-1.5392e+01,-0.00228,0.00244
-1.5384e+01,-0.00172,-0.0078
-1.5376e+01,-0.00244,0.0006
-1.5369e+01,-0.00244,-0.00532
-1.5361e+01,-0.00196,0.00212
-1.5353e+01,-0.0018,-0.00748
-1.5346e+01,-0.00188,0.0014
-1.5338e+01,-0.00188,-0.00692
-1.5330e+01,-0.00236,0.00148
-1.5323e+01,-0.00196,-0.00644
-1.5315e+01,-0.00252,0.00084
-1.5307e+01,-0.00196,-0.00588
-1.5300e+01,-0.00252,0.00124
-1.5292e+01,-0.00252,-0.00572
-1.5284e+01,-0.00252,0.0002
-1.5276e+01,-0.0026,-0.00532
-1.5269e+01,-0.00244,0.00268
-1.5261e+01,-0.00228,-0.0098
-1.5253e+01,-0.00196,0.00132
-1.5246e+01,-0.00228,-0.00556
-1.5238e+01,-0.00196,0.00124
-1.5230e+01,-0.00252,-0.00532
-1.5223e+01,-0.00244,4e-05
-1.5215e+01,-0.00236,-0.005
